,fc1_neuron_0,fc1_neuron_1,fc1_neuron_2,fc1_neuron_3,fc1_neuron_4,fc1_neuron_5,fc1_neuron_6,fc1_neuron_7,fc1_neuron_8,fc1_neuron_9,fc1_neuron_10,fc1_neuron_11,fc1_neuron_12,fc1_neuron_13,fc1_neuron_14,fc1_neuron_15,fc1_neuron_16,fc1_neuron_17,fc1_neuron_18,fc1_neuron_19,fc1_neuron_20,fc1_neuron_21,fc1_neuron_22,fc1_neuron_23,fc1_neuron_24,fc1_neuron_25,fc1_neuron_26,fc1_neuron_27,fc1_neuron_28,fc1_neuron_29,fc1_neuron_30,fc1_neuron_31,fc1_neuron_32,fc1_neuron_33,fc1_neuron_34,fc1_neuron_35,fc1_neuron_36,fc1_neuron_37,fc1_neuron_38,fc1_neuron_39
fc1_neuron_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1_neuron_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
