param,pearson_accuracy,pearson_epoch,spearman_accuracy
weight 1605,0.01296917996406128,-0.0035595022696066677,0.004232968142181552
weight 1606,0.010491827465960887,0.0010901307346711424,0.011166706130448002
weight 1607,-0.003987465411539562,-0.0010820294744556616,-0.005539824028537964
weight 1608,0.004585680733940481,-0.0002782804786376649,0.010447042655146906
weight 1609,0.007741902461919764,0.0019351153319454297,0.010592887166430096
weight 1610,0.013905140630447527,-0.002916696561350042,0.01245025804639704
weight 1611,0.009902681761021142,-0.004250036462892901,0.008280733341751221
weight 1612,0.007671524589207343,-0.0019078400664799425,0.005005232861751048
weight 1613,-0.006903042132105279,-0.0005983665977642728,-0.001698358145194669
weight 1614,-0.02875281099428986,-0.001675572636947216,-0.0035694844963803734
weight 1615,-0.007142213345764177,0.002339601286136696,0.009912432416242997
weight 1616,-0.004431160420279583,-0.002146297843655217,0.005839222993610298
weight 1617,0.00454291614703566,-0.004221700309358287,0.013206969637513494
weight 1618,0.01503164663306724,-0.0010887073337309658,0.016629724369401404
weight 1619,0.004755847808128215,-0.001072874709387388,-0.008434084202404837
weight 1620,-0.005285268423423442,-0.0010439136596558359,-0.003470822867172647
weight 1621,-0.016004440218656463,-0.0010075067794946828,-0.011880112784930433
weight 1622,-0.0028862161284883394,0.000251582458348221,0.007519998213282506
weight 1623,-0.010541355024397635,0.002984335947624637,0.00572974456746389
weight 1624,-0.009669806302958186,-0.00034075848603813685,-0.011703246564357509
weight 1625,0.0006977173013377911,-0.0013980024370192684,-0.003180404335137992
weight 1626,0.009600024649760824,-0.0003846643376851451,0.0014258404594777163
weight 1627,0.006305007767225461,-0.002088652850255229,0.007934798461522653
weight 1628,0.0005668837676942961,0.0002771305222130877,-0.0024784405795600377
weight 1629,0.007691514347731509,6.137339831060299e-05,0.005285875529992893
weight 1630,-0.004736363609670324,-0.0017846163002451954,0.005762830611518981
weight 1631,0.02803262010246534,-0.0012413997427005352,0.026810893696410952
weight 1632,0.025109344758228465,-0.0032461451927964227,0.015953173015633915
weight 1633,0.012026423502239985,-0.002485559416320547,0.007814871954030645
weight 1634,0.01226284870001677,-0.002914317922483545,0.008942594358009785
weight 1635,0.023064208591931958,-0.002279447921976696,0.017107293909377336
weight 1636,0.02911448885665422,-0.002788447878298934,0.014282040635514894
weight 1637,0.01695166980522016,-0.0018891276807412758,0.017202192992453205
weight 1638,0.016545239391934998,4.298844801632986e-05,0.002023941936713245
weight 1639,-0.028151571113242936,0.0018917623557574456,-0.012439451992626664
weight 1640,0.01820225013251755,-0.0029145953552921792,0.008542643416817687
weight 1641,0.035573946426658815,0.00048247577122114934,0.024438042591668516
weight 1642,0.009991409795667075,0.0003257424639854661,0.007961817296728353
weight 1643,0.0035316014690038177,-0.0025924803643087744,0.00478973417136376
weight 1644,-0.0039060425989207847,0.00030638260646023284,-0.004843709154518946
weight 1645,-0.020257123664958195,0.000876681648831226,-0.008305683692055959
weight 1646,-0.010008862720915605,-0.0006312058555524743,-0.004566892001736703
weight 1647,-0.006335129677878805,0.0023263175917741185,0.00039945859704736966
weight 1648,-0.005015929347636983,-0.0013349964651180352,0.001721008781799071
weight 1649,0.0020631713142214474,0.0004103037737359427,0.004962524367709753
weight 1650,0.022895212474780335,0.0004829714519739302,0.01595962343659096
weight 1651,0.037740710997774866,0.0014811409359665006,0.03293622041333725
weight 1652,0.003792436191691348,0.0019056169936589743,0.007920445616996922
weight 1653,0.01900798549811983,-4.3077573580502845e-05,0.015812353436081707
weight 1654,0.01997606600122632,-0.0008510840023265647,0.019343321875080314
weight 1655,-0.01772029321997888,0.0014791268632896076,-0.0074650018426157755
weight 1656,0.002230030899861621,0.00016550284257259586,0.009434343764252177
weight 1657,-0.008884862706459941,0.001795111124724114,0.0045780533502674
weight 1658,-0.015482025550347967,-0.0016665626651391442,-0.008423081469538764
weight 1659,-0.0012306625039326074,-0.0011231649298978881,0.002063250841897365
weight 1660,0.020172306000342775,-0.00017721246799336688,0.022240036726289315
weight 1661,0.0025987219075096694,-0.000822778608412408,0.011219598311663977
weight 1662,0.013143254559734766,-0.0012933411542870887,0.01466165889723514
weight 1663,0.008971194813079895,-0.0014995496071912575,0.009108529274436694
weight 1664,-0.011784092070102361,-0.002346916446603271,-0.0015690492683587138
weight 1665,-0.013494260305395297,-0.0008981730289130476,0.001654022849069901
weight 1666,0.004068981954507712,-0.0006864092045895582,0.007309547214264972
weight 1667,-0.013814388324062362,0.00045990580616676164,-0.011600920793058144
weight 1668,-0.013378065148626437,-5.937317519297779e-05,-0.007754287770310247
weight 1669,0.010369780323815598,0.0025555090742840824,0.01591246991699788
weight 1670,0.0010190795530317237,0.0002858057241498517,0.008017759973929995
weight 1671,-0.0005669540136143854,0.0013522684325363683,0.004495922867835999
weight 1672,0.01884702869734259,-0.00015329772445543297,0.014896930819462986
weight 1673,-0.013550619608806876,0.000980577630373677,-0.0017374481561205914
weight 1674,0.03709150490594596,-0.0018675390853661628,0.025464731473217688
weight 1675,0.042595025946384424,-0.004519011950372326,0.027072221019060216
weight 1676,-0.013828745232814058,0.0004568536944808074,-0.019372929319837705
weight 1677,0.02875060778041841,-0.0009346800401877982,0.020427796441790047
weight 1678,0.0083276499608371,0.002294690264704424,0.011471691498626539
weight 1679,0.028838517616657393,-0.0020692395205289325,0.023332141366330553
weight 1680,0.022544600456291048,-0.00010886320029821075,0.01885026359760232
weight 1681,0.013291951897777444,0.0003847488771454388,0.017261023387092282
weight 1682,0.006364028463879327,0.0018840514735357832,0.005240664754028911
weight 1683,0.019875479839913574,-0.0004562642399367699,0.023052040702545466
weight 1684,-0.009299905271355635,-0.0025580345096639463,-0.0020531652222013485
weight 1685,0.018797268482329647,-0.0011125337671078757,0.009977693001896382
weight 1686,-0.007558467424922515,0.003133890847833634,-0.0028418543856723482
weight 1687,-0.010928466492877122,-0.0003648233431658997,-0.005642594929204353
weight 1688,0.007125942588601093,-0.0026864799216452097,0.015285824897806766
weight 1689,0.013538615210368778,0.0012971626496408322,0.008291901262913357
weight 1690,0.004385089647052332,-0.00025560757720438887,0.002866759020008122
weight 1691,0.008108453624038205,-0.0016773390376769537,0.013360114068012081
weight 1692,-0.001450512742571888,-0.00021935341659734184,-0.0038853582800098146
weight 1693,-0.0005888611259136233,0.00038370368902049235,0.006844130986953639
weight 1694,-0.00047633704065994575,-0.0021848191665586724,0.0010540479909105387
weight 1695,0.015546174679862971,-0.0012142570136422994,0.00781781971671644
weight 1696,0.010648372873113753,0.0020158025155731915,0.008457679568438844
weight 1697,0.012716463538698397,-0.0022517361453514443,0.01342687772158366
weight 1698,-0.016838159050884885,-0.0024173115997455506,-0.008394113276346949
weight 1699,-0.006959583055850136,-0.0016388992673075442,-0.015010868611455841
weight 1700,0.013483999109512302,-0.0015911201567897918,0.017374785340479555
weight 1701,-0.01446011258300428,-0.00198964279496067,0.0035782761216839785
weight 1702,0.011999998597220727,-0.003009550557981684,0.008837739192858789
weight 1703,-0.00713813360722094,-0.0005108969746186844,0.005278519727207577
weight 1704,0.004193433473659795,-0.00016640527569803407,0.009075435982300756
weight 1705,0.017510272452993466,-0.0012750726164089034,0.010077097340549002
weight 1706,-0.009360722144613497,-0.002156667452791171,-0.011669039732657257
weight 1707,0.0163592926986023,-0.0003090754875814771,0.012967452295186636
weight 1708,-0.0023377141582263394,0.0018836951548628987,-0.0053815031999298905
weight 1709,0.010953725728803293,0.0007959209599519486,0.007000859419600865
weight 1710,0.001934679654294137,0.00031090166105948,0.0024570080747614693
weight 1711,0.003070507793752462,-0.0008434918125230786,0.008323343469383146
weight 1712,0.001043352019251211,0.001033819991269885,-0.007512952324823011
weight 1713,0.006054047767064044,0.0021101500678670656,-0.0056100319042038035
weight 1714,0.009749177717124356,0.004243618134180985,0.011700596654482677
weight 1715,0.011927529311504061,-0.0029175611010727855,0.012296733230425889
weight 1716,0.016930402578146722,-0.0003074440273510851,0.003927073897937156
