Experiment,Loss_Type,Epoch,Layer,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_Wasserstein,PD_vs_GT_Cosine_Sim,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_Wasserstein,FN_vs_GT_Cosine_Sim
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_1,0.10997510089777719,0.267948095067258,0.1978858789589401,0.015173427852032947,0.16972306208642493,0.3274308729022381,0.056967021045122704,0.02531335087926679
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_2,0.026440887305457413,0.127361148578281,0.06784735246631689,0.008187751871170509,0.07487116406670555,0.21396637804832727,0.060995527345728426,-0.001508471777138782
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_3,0.10224063859746015,0.2592218449987378,0.19674076082455175,0.10464956133113082,0.15902055620176642,0.3191377983548471,0.065041342143077,0.06215072807863228
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_4,0.08596042347620864,0.2313150686047209,0.16412509542060447,0.01984336457783297,0.09595435175009714,0.2443993395853824,0.12741926137146087,0.006980149436070326
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_5,0.13676194555936408,0.3037659327440384,0.22978574643831373,0.043058207618145744,0.14530686785612185,0.3106172264331772,0.20012554285553463,0.053062715313890535
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_1,0.1078199775126406,0.26563653739551596,0.21129253336420878,0.018023287377553956,0.16404514428432168,0.3221295135796563,0.061808909135508905,0.026133493624627146
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_2,0.024663200253715364,0.12258118552948456,0.08199862494666932,0.012172996337950315,0.07001658821740865,0.2080083439048969,0.050863439373625904,-0.003822111318291418
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_3,0.100944434002963,0.2582445231261377,0.20656964926089888,0.11069363851850754,0.1651514901222058,0.3250319061274976,0.06455990106589472,0.06203113211208947
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_4,0.08411682587490736,0.22887398477308993,0.17655923764592274,0.023189211545213567,0.09324915158375566,0.2408591983386307,0.13760597951433012,0.009084156565212996
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_5,0.1348802076594716,0.301884778572656,0.23995120913187667,0.049229732711489615,0.14182936871128482,0.3072461548703949,0.21122462069176734,0.052240831048395844
