Experiment,Loss_Type,Epoch,Scenario,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_MAPE,PD_vs_GT_Wasserstein,PD_vs_GT_JS_Divergence,PD_vs_GT_KL_Divergence,PD_vs_GT_Cosine_Sim,PD_vs_GT_Pearson_Corr,PD_vs_GT_AUTO_Loss,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_MAPE,FN_vs_GT_Wasserstein,FN_vs_GT_JS_Divergence,FN_vs_GT_KL_Divergence,FN_vs_GT_Cosine_Sim,FN_vs_GT_Pearson_Corr,FN_vs_GT_AUTO_Loss
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06340378366012252,0.1899722938323065,2062.7498260408875,0.12841681802927896,0.1371485602041537,0.679977267930304,0.02597248116641918,0.023819181975071733,0.12175142124001213,0.09552007875106386,0.24196220234316196,948.3652449930926,0.038261240406361544,0.1694358936641427,0.8584024713209906,0.013222818949759015,0.011950257330807481,0.1353925296510607
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06336125438896884,0.18992212729889202,1999.814163929252,0.12863819837401824,0.13639538099645718,0.6773913794625598,0.02585401794257399,0.02367355105301131,0.12168831771970451,0.09838417549565373,0.24592867595517612,1476.2731068797377,0.03147205642971019,0.17192737271131933,0.8727297722715488,0.013710758524444878,0.014141778895692573,0.1366194215418883
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06324533624659323,0.18971152567400668,1443.3410457162356,0.1292679966685313,0.1359032996243818,0.6749248285792281,0.026261757636931685,0.023979667336147,0.12165552149698373,0.10041191543832033,0.24802831849453172,636.0679346326939,0.030264317706158228,0.1759247006358873,0.8933808557000789,0.012413340915876186,0.012762365873200105,0.13821859532850803
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06310206368480538,0.18944732670614375,1493.7969495165535,0.13018553775050307,0.13607949702333552,0.6757360190767348,0.026942609284667737,0.02461209439142157,0.12172008073819945,0.10062006553699811,0.24863459521762563,1121.6755869918152,0.02933638883483301,0.175488588895257,0.8935801202212457,0.011703138878209632,0.012185810528798378,0.13825454143657925
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06286150281838009,0.1890150821342241,1564.3415940504015,0.13174519967461804,0.1362236383422235,0.6769566222748975,0.027746664287831267,0.025330859753747374,0.12182052953676523,0.09485840425374803,0.24093981831819575,3390.294767348106,0.03946448481346364,0.17397588430781233,0.8780800036559097,0.014742678686334896,0.01383770919350905,0.1355157925904319
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06259312720862316,0.18858797778001635,4797.596033474358,0.13354016129547294,0.13674017025945637,0.6787324777780069,0.028814894963117593,0.026398023233000886,0.1219956935024944,0.096928076526495,0.24256665519475193,1169.854960908507,0.037218980863629424,0.17035095814314663,0.8701992634236387,0.014203407440777329,0.013891801453737541,0.13602011915606413
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.062224533093642606,0.18793125585823842,2174.066815954354,0.13628875263778326,0.13691424756027407,0.6798827063206834,0.030091898700956604,0.027394529780078995,0.12221836527851263,0.09600763503230175,0.24113483848353265,808.3407402177256,0.039963383183904,0.17671687138337233,0.8981885374185237,0.01492100560079823,0.01428107143144952,0.1364078693330985
sinkhorn 2025-11-03 16:02:07.335521 750_epoch49,sinkhorn 2025-11-03 16:02:07.335521 750,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06016265411157329,0.18426279811222696,4775.789976740957,0.15784908669043146,0.14809285326496097,0.745926391697209,0.04333616712466668,0.03903001201399703,0.12572300374287979,0.08130811325025317,0.22080143387334686,3161.6633077050687,0.0695980646500044,0.17011349791860547,0.8600164332224146,0.01657048541219792,0.01515919158354831,0.12969463818396676
sinkhorn 2025-11-03 16:02:07.335521 750_epoch99,sinkhorn 2025-11-03 16:02:07.335521 750,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.1121520821083449,0.26030841114719494,757.86734424702,0.01669724593282745,0.14727598080658694,0.7298763175736833,0.010200078929768408,0.009981564897960841,0.1410204034547206,0.1067053816649267,0.25155833211595263,758.8266685156585,0.018867682602344216,0.14243409243719074,0.7076172295910627,0.008550438480165606,0.006840219474832336,0.13616659806494438
sinkhorn 2025-11-03 16:02:07.335521 750_epoch149,sinkhorn 2025-11-03 16:02:07.335521 750,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06127535208209003,0.1857920973979263,2307.3357719948904,0.14658904207162812,0.1367889038432887,0.6776118926932294,0.032391865761748594,0.028916187856525867,0.1232444688508684,0.0862768482930111,0.22791616419167174,1446.1051074557022,0.061113788366110595,0.1770166594079545,0.9022484202611067,0.013182449089146767,0.012157163222196142,0.13281001218872354
sinkhorn 2025-11-03 16:02:07.335521 750_epoch199,sinkhorn 2025-11-03 16:02:07.335521 750,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05980168894313426,0.1835325267615405,4886.798110809774,0.1619365042907137,0.1390390325115275,0.693244766032024,0.05172788714539799,0.04714838297558573,0.12527163771501135,0.08377182342528743,0.22491652809050325,915.4811998291459,0.06462446338566938,0.17479910864114753,0.890268610806366,0.01970286497476183,0.01946135550872198,0.13138849133851455
sinkhorn 2025-11-03 16:02:07.335521 750_epoch249,sinkhorn 2025-11-03 16:02:07.335521 750,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.07422104804303789,0.20423369013533882,1645.2728514505488,0.0896458756710638,0.13922144550059393,0.689376913387182,0.014192884264384994,0.013016972853102129,0.12280984594208896,0.0895280968364977,0.2269868646841358,702.2918541170366,0.045654076981418004,0.13706430472983208,0.6815807370584601,0.013881325972593818,0.012682062143340425,0.12674454400910662
sinkhorn 2025-11-03 16:02:07.335521 750_epoch299,sinkhorn 2025-11-03 16:02:07.335521 750,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.10155542570449963,0.23610524521190066,1926.6427090792047,0.04160083568813159,0.160248748597051,0.7839358812936067,-0.0005951848558182279,-0.0010562964441373738,0.13579878584270147,0.08071683273610143,0.21905410763973365,1077.7679919691489,0.07268345187648553,0.1642945276831178,0.8320054082153782,0.011375003433158976,0.008787027785505067,0.12896910852996954
sinkhorn 2025-11-03 16:02:07.335521 750_epoch349,sinkhorn 2025-11-03 16:02:07.335521 750,349,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.1034210175350526,0.23602979736112095,1516.9437030402464,0.041441208657678405,0.15685513636359405,0.7733009980109309,4.255436787929255e-05,-0.0005162507578200543,0.1361511015902524,0.07960910924335594,0.21782717218276132,1302.3691030190587,0.07592369640188885,0.1691082720851066,0.8549504156399236,0.019321188270208216,0.01588312045678555,0.1292873618410592
sinkhorn 2025-11-03 16:02:07.335521 750_epoch399,sinkhorn 2025-11-03 16:02:07.335521 750,399,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.10915843444953385,0.24410011039018537,3207.2864194739004,0.02630026536772294,0.14812696362850308,0.7322884506894691,-0.001087064318936361,-0.0015508351949946849,0.13696615633326403,0.0815434099622879,0.22036807243928652,1888.1386109372613,0.07310328861345809,0.17418946261434795,0.8828108440074302,0.00898590738485749,0.007069080415407608,0.13076738970082752
