Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_2,0.06433583677866715,0.19916705696750112,0.13345188681887085,-0.18705439202415766
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_3,0.062184611157135555,0.2040632538831038,0.1400026663827964,0.27312340928796786
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_4,0.0231142446499688,0.12212568320492914,0.03734474757340513,-0.1046228410313526
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_5,0.023295142396875922,0.12570258076602325,0.042234958788164245,0.11905150198989706
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_1,0.07965390653106572,0.22874294486819763,0.15514597126256358,-0.12997786168470887
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_2,0.060963969085700564,0.19304999460333513,0.128143509527967,-0.19445279575359278
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_3,0.061392556109972345,0.20036812566506718,0.13086489748600597,0.20919404642550188
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_4,0.02271388599493052,0.12259300941711737,0.035961799613349915,-0.09372716585633709
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_5,0.023841770380085062,0.12502609774985435,0.041329733693102444,0.09917570975510327
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,Layer_1,0.07962017657018328,0.22455358217567614,0.14905350729075684,-0.10874926099221252
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,Layer_2,0.05821761578607491,0.18909399915530503,0.1243554268952503,-0.16508395281563693
