param,osc_ratio,osc_power,traj_std,mag_z,traj_z,sw_score,abs_corr_accuracy
weight 2069,0.0005577112055412769,0.002033229056464399,0.01025753907820486,0.6611083477901754,-0.8529177133616473,0.563871020281493,0.05594880337534015
weight 2070,0.005035313277918958,0.009106187302788896,0.02166570409654962,-0.07970725506714275,-0.32662532271028366,0.026034407908656396,0.045220069635433006
weight 2071,6.703168273590803e-05,0.0001858233495891995,0.0031956152367771376,0.385259745015176,-1.1787051450061201,0.4541076436131339,0.00035840869884306084
weight 2072,0.002881223739339548,0.004368063219290095,0.014335532061093769,0.09629047086142269,-0.6647878368589064,0.06401273383409074,0.0061633501994501315
weight 2073,0.005797549970039177,0.006742056862528502,0.018896049369926293,-0.36376458984453786,-0.4543976861893784,0.16529378794298627,0.005430560461061104
weight 2074,0.05875168169099876,0.03283765820707966,0.04024784116410169,-0.21486111234367156,0.5306236147803011,0.11401038010751537,0.00155329893482226
weight 2075,0.010234880528837356,0.056352934200094205,0.05381414058078684,1.4495658408548764,1.156477127665002,1.676389739993151,0.005930237552694421
weight 2076,0.003646485403188481,0.0009625249239132981,0.006117699886137534,-0.6769659453834393,-1.0439007383969432,0.706685250255357,0.005532143670419275
weight 2077,0.00834524364190524,0.007325366405152396,0.018271334511474523,-0.4661742424982968,-0.4832176301331516,0.2252636126891441,0.002733361167901781
weight 2078,0.005845280264147075,0.04161755337506555,0.045844883052444156,1.6804450421462764,0.7888317097065941,1.3255883356642169,0.013265424907276275
weight 2079,1.92614873230558e-05,0.00012085594328140231,0.0024184634864080376,1.2344940284797588,-1.2145574535888715,1.4993639237010437,0.0072375840911204905
weight 2080,0.003349067892753115,0.018964882098988618,0.0317842142838756,1.341498588428415,0.14017147657818163,0.1880398379675573,0.018961304352312188
weight 2081,0.008858861047764677,0.007010680860148494,0.0191714596531697,-0.25325039303117797,-0.4416921953286604,0.11185872206578708,0.005360137946724831
weight 2082,0.008682189863555508,0.022385926741017515,0.032915064499350326,0.06537108220308534,0.19234094137938026,0.012573535489930286,0.015036803387722276
weight 2083,0.04219483692688001,0.02393312920150003,0.03488546034738359,-0.7801211114416647,0.2832411290715643,0.22096238441730076,0.02143502240063694
weight 2084,0.0009512275023873142,0.0065648178351555035,0.01818497315340555,1.5403400868572148,-0.4872017349848023,0.7504563627834762,0.010302174434968671
weight 2085,0.0002266849510898426,0.0017028810826113007,0.00946144205475645,1.541095154733721,-0.8896440234200454,1.371026093930445,0.022205815924341413
weight 2086,9.33724582051975e-05,0.0006331418640291983,0.005918758467712818,1.365204850469256,-1.053078494375574,1.4376678684463948,0.000783553673324182
weight 2087,0.0003056363970612007,0.0033402697475763167,0.012330146989716484,2.155953535327423,-0.757302180900613,1.632708314223844,0.020753136279241625
weight 2088,0.0001355379164190138,0.00044034484097960243,0.004902938591698533,0.49185161056847343,-1.0999412694282702,0.5410078848990258,0.002178343441795496
weight 2089,0.02865785123665317,0.002443039532794289,0.011477938694716555,-0.8236736582177335,-0.7966170698584087,0.6561524961289673,0.005187250143309869
weight 2090,0.3776503417820379,0.05795888959570976,0.05551282943163077,-1.102731546414238,1.2348426680341917,1.3616999648996277,0.018239979993644243
weight 2091,0.01537565621379356,0.0011989393390614157,0.006477377305581908,-0.9057682455201149,-1.0273077553327696,0.9305027431569702,0.006242221325905383
